Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
3.1,3.8,4.4,5.1,5.6,6.2,6.7,7.3,7.8,8.3,,,,,,,,,,,
9.7,10.3,11.3,11.7,12.3,12.9,13.3,14.0,14.5,15.0,15.6,16.2,,,,,,,,,
16.8,17.6,18.1,18.6,19.4,20.0,20.6,21.2,21.9,22.4,22.9,23.5,24.1,24.9,25.4,25.9,26.4,27.0,27.4,28.0,
29.2,29.9,30.6,31.5,32.0,32.6,33.1,33.7,34.2,34.8,35.4,35.9,,,,,,,,,
36.7,37.3,37.9,38.5,39.0,39.5,40.2,40.8,41.4,42.2,42.8,43.3,44.0,44.7,45.2,45.9,46.6,47.2,,,
48.4,49.2,49.8,50.5,51.0,51.8,52.4,,,,,,,,,,,,,,
53.4,54.4,55.1,55.7,56.3,57.0,57.6,58.3,59.1,59.8,60.5,61.1,61.7,62.4,63.1,63.8,64.9,66.0,,,
66.9,67.6,68.1,68.8,69.4,70.1,70.7,71.3,,,,,,,,,,,,,
73.1,74.1,74.9,75.6,76.3,76.8,77.4,78.0,,,,,,,,,,,,,
78.8,79.5,80.0,80.5,81.0,81.6,82.1,82.8,83.3,83.9,84.5,85.1,,,,,,,,,
87.1,88.1,89.2,89.7,90.3,90.9,91.6,92.1,92.8,93.4,93.9,94.4,95.0,95.5,96.2,96.8,97.5,,,,
99.5,100.2,101.0,101.7,102.4,103.2,104.0,104.7,105.3,106.0,106.6,107.3,108.0,109.1,109.6,110.1,110.6,111.3,,,
113.1,114.4,115.0,115.6,116.0,116.5,117.1,117.7,118.2,118.7,119.3,119.9,120.5,121.2,121.8,122.6,123.2,123.7,124.6,125.5,126.2
127.6,128.5,129.3,129.9,130.5,131.0,131.5,132.2,132.7,133.3,133.8,134.5,,,,,,,,,
135.7,136.3,137.0,137.6,138.2,139.0,,,,,,,,,,,,,,,
139.8,140.5,141.1,141.6,142.2,142.8,143.6,144.6,,,,,,,,,,,,,
145.7,146.6,147.5,148.4,148.9,149.4,,,,,,,,,,,,,,,
150.4,151.4,152.0,152.6,153.2,153.7,154.2,155.1,155.8,156.4,157.1,157.7,158.2,158.9,159.5,160.8,,,,,
162.6,163.3,164.1,165.1,165.9,166.7,168.1,168.5,169.0,169.4,170.3,171.0,171.5,172.0,172.6,173.1,173.6,174.1,174.7,175.3,176.0
177.4,177.8,178.4,179.0,179.5,,,,,,,,,,,,,,,,
