Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20
6.0,7.5,8.2,8.8,9.3,10.1,10.6,,,,,,,,,,,,,
12.5,13.0,13.9,14.5,15.1,15.8,,,,,,,,,,,,,,
16.9,17.4,17.8,18.5,19.2,19.8,20.4,21.0,21.6,,,,,,,,,,,
23.8,24.3,24.8,25.5,,,,,,,,,,,,,,,,
27.0,27.7,28.4,29.2,29.7,30.6,31.4,,,,,,,,,,,,,
33.0,33.6,34.3,35.0,35.7,36.4,,,,,,,,,,,,,,
38.1,39.1,39.6,40.3,40.9,41.6,42.1,42.8,43.7,44.5,,,,,,,,,,
47.7,48.5,49.0,49.5,50.2,50.8,51.5,,,,,,,,,,,,,
53.1,53.8,54.3,54.7,55.3,58.0,,,,,,,,,,,,,,
59.5,60.2,60.7,61.2,62.0,62.5,63.1,63.5,64.1,64.5,,,,,,,,,,
67.7,69.1,69.9,70.6,71.4,72.0,72.9,73.7,74.5,75.3,76.1,,,,,,,,,
76.8,77.3,77.9,78.5,78.9,79.4,80.0,80.6,81.2,81.8,,,,,,,,,,
82.4,83.1,83.7,84.3,84.7,85.2,85.9,86.5,88.3,,,,,,,,,,,
90.3,91.4,92.1,92.6,93.2,93.9,94.4,95.0,95.5,96.4,,,,,,,,,,
96.9,97.5,98.0,98.7,99.7,100.3,100.8,101.4,102.4,103.2,,,,,,,,,,
105.0,106.8,107.9,109.1,109.6,110.2,111.2,112.1,112.9,114.4,115.9,117.1,,,,,,,,
117.7,118.3,118.9,119.6,120.2,120.7,121.3,122.6,124.9,,,,,,,,,,,
126.8,127.3,127.8,128.1,128.6,129.2,130.0,130.5,131.7,132.2,132.9,,,,,,,,,
133.8,134.8,135.4,136.0,136.6,137.4,138.1,138.7,139.4,140.1,140.9,143.0,144.1,145.7,,,,,,
147.4,148.4,149.1,149.5,150.0,150.7,151.2,151.9,152.4,153.2,153.8,154.5,155.1,155.8,156.4,157.5,158.1,158.8,159.8,160.5
162.6,163.4,163.9,165.2,165.8,166.6,167.2,167.8,168.4,169.2,169.9,170.7,171.6,173.0,174.8,176.8,,,,
177.8,178.8,179.2,179.8,,,,,,,,,,,,,,,,
