Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19
3.7,4.6,5.9,6.4,7.0,7.4,7.9,8.4,8.9,9.7,,,,,,,,,
11.0,11.5,12.2,12.8,13.3,13.8,14.4,,,,,,,,,,,,
15.9,16.8,17.5,18.2,19.0,19.7,20.6,,,,,,,,,,,,
23.0,23.7,24.6,25.3,26.0,27.1,27.6,28.2,28.8,29.7,30.3,31.3,32.6,33.6,,,,,
35.5,36.2,36.9,38.6,40.2,41.9,43.0,43.7,44.4,45.0,46.4,48.4,49.6,50.5,52.5,54.1,,,
55.8,56.9,58.6,59.5,60.4,61.3,62.2,63.6,64.3,65.3,67.1,68.0,69.6,70.7,,,,,
72.9,75.3,76.3,77.4,78.2,78.8,79.4,80.0,80.9,81.7,82.2,82.8,83.9,,,,,,
86.3,87.3,87.8,88.5,89.3,90.1,93.1,93.8,95.1,95.9,,,,,,,,,
100.4,101.3,102.4,103.0,103.6,104.0,104.8,105.4,105.9,106.7,107.4,108.1,108.6,109.2,109.9,,,,
111.6,112.3,113.0,113.6,114.3,115.1,116.0,116.6,117.7,118.6,119.9,120.6,121.3,122.7,123.4,124.1,125.6,126.4,129.1
132.7,133.8,134.7,135.8,136.9,137.6,138.6,139.7,140.6,,,,,,,,,,
143.8,144.9,146.2,147.2,148.2,149.1,150.5,151.8,153.0,157.8,159.5,160.4,161.2,162.0,,,,,
164.9,166.6,167.5,168.2,168.7,169.3,169.9,170.4,170.9,171.3,172.0,172.9,174.5,,,,,,
176.4,176.8,177.4,177.8,178.3,178.8,179.4,,,,,,,,,,,,
