Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25
9.4,11.0,11.5,12.0,12.4,12.9,13.5,14.4,14.8,15.2,15.9,17.3,,,,,,,,,,,,,
18.8,19.4,20.1,20.8,21.9,22.4,22.8,23.4,24.1,24.8,25.3,26.3,26.9,27.7,29.1,,,,,,,,,,
31.6,32.2,32.7,33.3,34.0,34.6,,,,,,,,,,,,,,,,,,,
36.4,37.5,38.3,38.8,39.8,40.4,41.1,42.0,42.6,43.4,,,,,,,,,,,,,,,
45.4,46.2,46.7,47.2,47.8,48.5,48.9,49.9,50.5,51.3,,,,,,,,,,,,,,,
52.0,53.1,54.0,54.6,55.1,55.7,56.2,57.0,57.4,58.2,58.8,59.5,62.3,62.8,63.3,,,,,,,,,,
66.7,68.1,68.6,69.2,69.7,70.2,70.7,71.2,71.9,72.8,,,,,,,,,,,,,,,
75.8,76.9,77.7,78.3,78.8,79.3,79.8,80.6,81.4,,,,,,,,,,,,,,,,
84.0,84.8,85.4,86.5,87.1,87.6,88.2,88.9,89.9,90.3,91.1,91.6,92.2,,,,,,,,,,,,
93.7,94.9,95.8,96.4,96.8,97.3,97.8,98.5,99.0,99.6,100.0,100.9,101.4,102.2,102.8,103.4,104.5,105.5,106.5,107.4,,,,,
111.4,112.0,112.6,113.4,114.2,114.7,115.2,116.0,116.7,117.2,117.9,118.6,119.4,119.9,120.9,121.5,122.5,123.2,123.8,124.5,125.1,125.8,127.0,127.8,128.3
134.6,135.4,136.0,136.7,137.3,137.9,138.4,139.2,139.8,140.7,141.2,141.8,,,,,,,,,,,,,
142.9,143.7,144.6,145.2,145.7,146.3,147.0,148.1,148.6,149.3,150.0,150.7,151.4,152.0,152.7,153.5,154.3,155.0,155.5,156.4,157.2,,,,
163.2,163.8,164.2,164.8,165.5,166.1,166.8,167.5,168.0,168.6,169.4,170.2,170.9,,,,,,,,,,,,
172.5,173.4,174.1,174.6,175.2,175.8,176.3,176.8,177.6,,,,,,,,,,,,,,,,
179.7,,,,,,,,,,,,,,,,,,,,,,,,
