Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17
3.0,3.6,4.2,4.8,5.4,5.9,6.4,6.9,7.5,8.1,8.8,,,,,,
9.9,10.5,11.0,11.5,12.0,12.5,13.2,13.6,14.4,15.0,16.1,,,,,,
17.3,17.8,18.3,18.9,19.4,20.0,20.5,21.0,21.6,23.3,,,,,,,
24.4,25.0,25.7,26.3,26.8,27.4,28.0,28.5,29.1,30.0,31.2,,,,,,
33.3,34.0,34.8,35.5,36.3,36.8,37.5,38.1,38.7,39.3,39.9,40.5,41.2,,,,
42.9,43.9,44.5,45.4,46.0,46.7,47.3,47.9,48.4,49.1,49.9,,,,,,
51.4,52.2,52.7,53.4,54.2,54.8,55.4,55.8,56.4,56.9,57.5,58.2,,,,,
61.3,62.0,62.7,63.5,64.0,64.8,65.2,65.7,66.3,66.9,67.6,,,,,,
69.9,70.4,71.4,72.1,72.6,73.2,73.6,74.3,74.8,75.4,76.0,76.6,77.7,,,,
79.4,79.9,80.5,81.2,81.9,82.3,82.8,83.3,83.9,84.6,85.1,85.8,86.7,,,,
88.9,89.4,90.1,90.8,91.6,92.5,93.0,93.4,94.0,94.7,95.2,96.0,97.1,,,,
99.8,100.3,100.9,101.4,101.9,102.5,103.0,103.6,104.2,104.9,105.4,106.1,106.8,107.5,,,
110.7,111.8,112.2,112.7,113.2,113.8,114.5,115.0,115.7,116.4,117.0,117.7,118.2,118.9,119.7,120.3,121.4
123.0,123.7,124.3,124.9,125.5,126.0,126.6,127.2,127.7,128.6,129.4,131.2,,,,,
132.7,133.1,133.6,134.4,135.0,135.4,135.9,136.6,137.3,138.5,,,,,,,
139.7,140.3,140.9,141.5,142.0,142.6,143.1,143.6,144.1,144.8,145.5,146.2,147.2,148.4,,,
149.9,150.5,151.0,151.5,152.3,152.9,153.4,154.0,154.4,155.1,155.7,156.4,157.5,158.8,,,
160.7,161.5,162.0,162.4,163.0,163.6,164.2,164.9,165.5,166.2,167.2,168.2,169.4,,,,
171.5,172.4,172.9,173.6,174.1,174.6,175.2,175.8,176.5,177.3,177.8,178.5,179.3,,,,
