Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21,Chew_22,Chew_23,Chew_24,Chew_25
1,5.4,5.8,6.3,6.8,7.1,7.6,8,8.6,9,10.1,10.8,12.7,,,,,,,,,,,,,
2,13.6,14.2,14.9,15.5,16.1,16.5,17.1,17.6,18.2,18.8,19.9,20.7,21.5,,,,,,,,,,,,
3,23.8,24.7,25.6,26.2,26.7,27.6,28.4,29.3,29.9,30.4,31,31.9,,,,,,,,,,,,,
4,34.6,35.2,35.7,36.2,36.7,37.1,37.6,38,,,,,,,,,,,,,,,,,
5,39.1,39.5,40.3,40.8,41.4,41.8,42.3,42.8,43.5,44,45,46.1,47.2,48.6,,,,,,,,,,,
6,51.3,52,52.7,53.3,53.8,54.6,55.2,55.8,56.3,56.9,57.3,58,58.7,59.5,60.1,,,,,,,,,,
7,65,65.6,66.6,67.3,67.8,68.3,68.7,69.3,69.8,70.3,70.8,71.5,72,72.7,,,,,,,,,,,
8,76.9,79,79.8,80.4,80.9,81.5,82.1,82.6,83.2,83.9,84.4,84.9,85.4,86,86.6,87,87.6,88.2,89,89.7,90.6,91.9,93.5,94.4,94.8
9,97.8,98.3,99,99.5,100,100.4,100.8,101.4,101.9,102.4,103,103.5,104.1,104.7,105.1,105.9,106.5,107,108,,,,,,
10,109,109.7,110.3,110.8,111.4,112,112.6,113.2,113.8,114.4,114.9,115.5,116.1,116.8,117.3,117.9,118.5,,,,,,,,
11,121.4,122,122.8,123.5,124.4,124.9,125.6,126.4,127.2,127.8,128.5,129.1,129.8,130.8,131.5,,,,,,,,,,
12,134.2,135.1,135.7,,,,,,,,,,,,,,,,,,,,,,
13,136.7,137.4,137.9,138.5,139,139.5,,,,,,,,,,,,,,,,,,,
14,140.5,141.2,141.7,142.2,142.8,143.2,143.7,144.2,144.7,145.4,145.9,146.4,147.6,148.2,148.7,149.4,150,150.8,151.4,152.2,153,154.3,155.3,,
15,157.3,158.1,158.8,159.5,160.2,160.7,161.4,162,164,164.9,165.8,166.6,167.7,168.3,169.2,171.5,,,,,,,,,
16,172.9,173.9,174.3,175.2,175.7,176.3,176.7,177.4,178.1,178.7,179.2,179.8,,,,,,,,,,,,,
