Trial,Chew_1,Chew_2,Chew_3,Chew_4,Chew_5,Chew_6,Chew_7,Chew_8,Chew_9,Chew_10,Chew_11,Chew_12,Chew_13,Chew_14,Chew_15,Chew_16,Chew_17,Chew_18,Chew_19,Chew_20,Chew_21
1,4.5,5.2,8.1,11.7,12.2,12.9,13.5,14.2,15.1,15.9,,,,,,,,,,,
2,18.7,20.8,21.5,22.3,23.1,24.1,24.7,25.8,26.5,27.2,27.9,28.6,29.4,30.2,31,,,,,,
3,33.9,35.1,36.8,37.6,38.3,39.1,39.8,40.7,41.4,42.3,43.7,,,,,,,,,,
4,47.8,48.5,49.6,50.2,50.9,51.6,52.6,53.5,54.2,55,55.8,56.7,,,,,,,,,
5,59.7,60.7,62,62.6,63.2,63.9,64.6,65.4,66.2,66.8,67.9,,,,,,,,,,
6,68.9,69.8,70.6,71.5,72,72.7,73.4,74.1,74.9,75.6,76.4,77.2,77.9,,,,,,,,
7,80.2,81.4,82.1,83.4,84,84.7,85.4,86.2,87.1,87.9,88.8,89.9,90.7,91.8,92.6,93.8,94.8,,,,
8,96.8,97.6,98.3,99.1,99.8,100.5,101.1,101.9,102.7,103.2,104,105,105.5,106.5,107.2,107.9,,,,,
9,112.2,113.3,114.1,115.2,115.9,116.7,117.6,118.5,119.7,120.6,121.4,122.2,123,123.8,124.6,125.3,126.1,127,127.7,128.7,131
10,134.1,135.1,136.4,137.7,138.3,139,139.7,140.3,140.9,141.7,,,,,,,,,,,
11,147.8,148.7,149.3,149.9,150.6,151.2,151.8,152.5,153.1,153.8,154.5,,,,,,,,,,
12,159.7,160.5,161.2,162,162.8,163.9,164.7,165.6,166.4,167.4,168.2,,,,,,,,,,
13,172.3,173.2,173.9,174.8,175.6,176.2,177.3,177.9,178.8,179.4,,,,,,,,,,,
