bin_left,bin_right,count
-0.5,-0.45,2
-0.45,-0.4,4
-0.4,-0.35,2
-0.35,-0.3,2
-0.3,-0.25,9
-0.25,-0.2,10
-0.2,-0.15,7
-0.15,-0.1,14
-0.1,-0.0500000000000001,18
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,38
0.0499999999999998,0.0999999999999998,11
0.0999999999999998,0.1499999999999998,13
0.1499999999999998,0.1999999999999998,7
0.1999999999999998,0.2499999999999998,8
0.2499999999999998,0.2999999999999998,7
0.2999999999999998,0.3499999999999998,4
0.3499999999999998,0.3999999999999998,3
0.3999999999999998,0.4499999999999998,2
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,0
-0.45,-0.4,1
-0.4,-0.35,0
-0.35,-0.3,9
-0.3,-0.25,11
-0.25,-0.2,18
-0.2,-0.15,17
-0.15,-0.1,11
-0.1,-0.0500000000000001,8
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,35
0.0499999999999998,0.0999999999999998,13
0.0999999999999998,0.1499999999999998,11
0.1499999999999998,0.1999999999999998,11
0.1999999999999998,0.2499999999999998,19
0.2499999999999998,0.2999999999999998,10
0.2999999999999998,0.3499999999999998,4
0.3499999999999998,0.3999999999999998,0
0.3999999999999998,0.4499999999999998,1
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,1
-0.45,-0.4,1
-0.4,-0.35,0
-0.35,-0.3,6
-0.3,-0.25,8
-0.25,-0.2,12
-0.2,-0.15,14
-0.15,-0.1,16
-0.1,-0.0500000000000001,13
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,37
0.0499999999999998,0.0999999999999998,16
0.0999999999999998,0.1499999999999998,11
0.1499999999999998,0.1999999999999998,9
0.1999999999999998,0.2499999999999998,17
0.2499999999999998,0.2999999999999998,5
0.2999999999999998,0.3499999999999998,6
0.3499999999999998,0.3999999999999998,1
0.3999999999999998,0.4499999999999998,0
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,2
-0.45,-0.4,0
-0.4,-0.35,0
-0.35,-0.3,1
-0.3,-0.25,5
-0.25,-0.2,14
-0.2,-0.15,8
-0.15,-0.1,17
-0.1,-0.0500000000000001,24
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,48
0.0499999999999998,0.0999999999999998,21
0.0999999999999998,0.1499999999999998,13
0.1499999999999998,0.1999999999999998,12
0.1999999999999998,0.2499999999999998,12
0.2499999999999998,0.2999999999999998,4
0.2999999999999998,0.3499999999999998,2
0.3499999999999998,0.3999999999999998,2
0.3999999999999998,0.4499999999999998,1
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,0
-0.45,-0.4,1
-0.4,-0.35,0
-0.35,-0.3,2
-0.3,-0.25,6
-0.25,-0.2,21
-0.2,-0.15,15
-0.15,-0.1,16
-0.1,-0.0500000000000001,16
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,63
0.0499999999999998,0.0999999999999998,28
0.0999999999999998,0.1499999999999998,11
0.1499999999999998,0.1999999999999998,13
0.1999999999999998,0.2499999999999998,12
0.2499999999999998,0.2999999999999998,4
0.2999999999999998,0.3499999999999998,0
0.3499999999999998,0.3999999999999998,0
0.3999999999999998,0.4499999999999998,2
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,0
-0.45,-0.4,0
-0.4,-0.35,0
-0.35,-0.3,2
-0.3,-0.25,10
-0.25,-0.2,16
-0.2,-0.15,11
-0.15,-0.1,21
-0.1,-0.0500000000000001,32
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,69
0.0499999999999998,0.0999999999999998,20
0.0999999999999998,0.1499999999999998,18
0.1499999999999998,0.1999999999999998,9
0.1999999999999998,0.2499999999999998,14
0.2499999999999998,0.2999999999999998,4
0.2999999999999998,0.3499999999999998,2
0.3499999999999998,0.3999999999999998,1
0.3999999999999998,0.4499999999999998,0
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,3
-0.45,-0.4,1
-0.4,-0.35,0
-0.35,-0.3,3
-0.3,-0.25,13
-0.25,-0.2,21
-0.2,-0.15,7
-0.15,-0.1,16
-0.1,-0.0500000000000001,22
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,48
0.0499999999999998,0.0999999999999998,21
0.0999999999999998,0.1499999999999998,15
0.1499999999999998,0.1999999999999998,10
0.1999999999999998,0.2499999999999998,14
0.2499999999999998,0.2999999999999998,2
0.2999999999999998,0.3499999999999998,2
0.3499999999999998,0.3999999999999998,1
0.3999999999999998,0.4499999999999998,1
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,1
-0.45,-0.4,0
-0.4,-0.35,1
-0.35,-0.3,1
-0.3,-0.25,11
-0.25,-0.2,13
-0.2,-0.15,19
-0.15,-0.1,17
-0.1,-0.0500000000000001,21
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,55
0.0499999999999998,0.0999999999999998,19
0.0999999999999998,0.1499999999999998,13
0.1499999999999998,0.1999999999999998,11
0.1999999999999998,0.2499999999999998,12
0.2499999999999998,0.2999999999999998,2
0.2999999999999998,0.3499999999999998,1
0.3499999999999998,0.3999999999999998,1
0.3999999999999998,0.4499999999999998,0
0.4499999999999998,0.4999999999999998,0
-0.5,-0.45,1
-0.45,-0.4,1
-0.4,-0.35,1
-0.35,-0.3,1
-0.3,-0.25,6
-0.25,-0.2,19
-0.2,-0.15,21
-0.15,-0.1,18
-0.1,-0.0500000000000001,22
-0.0500000000000001,-1.1102230246251563e-16,0
-1.1102230246251563e-16,0.0499999999999998,51
0.0499999999999998,0.0999999999999998,23
0.0999999999999998,0.1499999999999998,21
0.1499999999999998,0.1999999999999998,18
0.1999999999999998,0.2499999999999998,13
0.2499999999999998,0.2999999999999998,4
0.2999999999999998,0.3499999999999998,0
